"","isFinal_t_0","MinutesSincePreviousCommit_t_0","NumberOfFilesAdded_t_0","NumberOfFilesAddedNet_t_0","NumberOfLinesAddedByAddedFiles_t_0","NumberOfLinesAddedByAddedFilesNet_t_0","NumberOfFilesDeleted_t_0","NumberOfFilesDeletedNet_t_0","NumberOfLinesDeletedByDeletedFiles_t_0","NumberOfLinesDeletedByDeletedFilesNet_t_0","NumberOfFilesModified_t_0","NumberOfFilesModifiedNet_t_0","NumberOfFilesRenamed_t_0","NumberOfFilesRenamedNet_t_0","NumberOfLinesAddedByModifiedFiles_t_0","NumberOfLinesAddedByModifiedFilesNet_t_0","NumberOfLinesDeletedByModifiedFiles_t_0","NumberOfLinesDeletedByModifiedFilesNet_t_0","NumberOfLinesAddedByRenamedFiles_t_0","NumberOfLinesAddedByRenamedFilesNet_t_0","NumberOfLinesDeletedByRenamedFiles_t_0","NumberOfLinesDeletedByRenamedFilesNet_t_0","Density_t_0","AffectedFilesRatioNet_t_0","isInitial_t_1","precByMerge_t_1","MinutesSincePreviousCommit_t_1","NumberOfFilesAdded_t_1","NumberOfFilesAddedNet_t_1","NumberOfLinesAddedByAddedFiles_t_1","NumberOfLinesAddedByAddedFilesNet_t_1","NumberOfFilesDeleted_t_1","NumberOfFilesDeletedNet_t_1","NumberOfLinesDeletedByDeletedFiles_t_1","NumberOfLinesDeletedByDeletedFilesNet_t_1","NumberOfFilesModified_t_1","NumberOfFilesModifiedNet_t_1","NumberOfFilesRenamed_t_1","NumberOfFilesRenamedNet_t_1","NumberOfLinesAddedByModifiedFiles_t_1","NumberOfLinesAddedByModifiedFilesNet_t_1","NumberOfLinesDeletedByModifiedFiles_t_1","NumberOfLinesDeletedByModifiedFilesNet_t_1","NumberOfLinesAddedByRenamedFiles_t_1","NumberOfLinesAddedByRenamedFilesNet_t_1","NumberOfLinesDeletedByRenamedFiles_t_1","NumberOfLinesDeletedByRenamedFilesNet_t_1","Density_t_1","AffectedFilesRatioNet_t_1","d_isFinal_t_0","d_MinutesSincePreviousCommit_t_0","d_NumberOfFilesAdded_t_0","d_NumberOfFilesAddedNet_t_0","d_NumberOfLinesAddedByAddedFiles_t_0","d_NumberOfLinesAddedByAddedFilesNet_t_0","d_NumberOfFilesDeleted_t_0","d_NumberOfFilesDeletedNet_t_0","d_NumberOfLinesDeletedByDeletedFiles_t_0","d_NumberOfLinesDeletedByDeletedFilesNet_t_0","d_NumberOfFilesModified_t_0","d_NumberOfFilesModifiedNet_t_0","d_NumberOfFilesRenamed_t_0","d_NumberOfFilesRenamedNet_t_0","d_NumberOfLinesAddedByModifiedFiles_t_0","d_NumberOfLinesAddedByModifiedFilesNet_t_0","d_NumberOfLinesDeletedByModifiedFiles_t_0","d_NumberOfLinesDeletedByModifiedFilesNet_t_0","d_NumberOfLinesAddedByRenamedFiles_t_0","d_NumberOfLinesAddedByRenamedFilesNet_t_0","d_NumberOfLinesDeletedByRenamedFiles_t_0","d_NumberOfLinesDeletedByRenamedFilesNet_t_0","d_Density_t_0","d_AffectedFilesRatioNet_t_0","d_isInitial_t_1","d_precByMerge_t_1","d_MinutesSincePreviousCommit_t_1","d_NumberOfFilesAdded_t_1","d_NumberOfFilesAddedNet_t_1","d_NumberOfLinesAddedByAddedFiles_t_1","d_NumberOfLinesAddedByAddedFilesNet_t_1","d_NumberOfFilesDeleted_t_1","d_NumberOfFilesDeletedNet_t_1","d_NumberOfLinesDeletedByDeletedFiles_t_1","d_NumberOfLinesDeletedByDeletedFilesNet_t_1","d_NumberOfFilesModified_t_1","d_NumberOfFilesModifiedNet_t_1","d_NumberOfFilesRenamed_t_1","d_NumberOfFilesRenamedNet_t_1","d_NumberOfLinesAddedByModifiedFiles_t_1","d_NumberOfLinesAddedByModifiedFilesNet_t_1","d_NumberOfLinesDeletedByModifiedFiles_t_1","d_NumberOfLinesDeletedByModifiedFilesNet_t_1","d_NumberOfLinesAddedByRenamedFiles_t_1","d_NumberOfLinesAddedByRenamedFilesNet_t_1","d_NumberOfLinesDeletedByRenamedFiles_t_1","d_NumberOfLinesDeletedByRenamedFilesNet_t_1","d_Density_t_1","d_AffectedFilesRatioNet_t_1","est_t1","est_t0","y_t1","y_t0"
"1",0,45.0167,0,0,0,0,0,0,0,0,2,2,0,0,70,60,9,8,0,0,0,0,0.86076,1,0,0,49.2167,1,1,89,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67416,1,1,0.474741401366337,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.706478480645426,0.706478480645426,1,1,0.591784787498191,0.510535077644449,0.9292474392865,0.815514168831062,1,1,1,1,0.915206633352271,1,0.999955772564377,0.999955772564377,0.998595701189958,0.907281659575328,0.907281659575328,0.694982852696447,0.703671779996348,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.612601290175906,0.612601290175906,0.999958139640646,0.999958139640646,0.946119158212561,0.950094883022334,0.980950404760928,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.894514888401364,1,1,1,1,1
"3",0,18.0333,0,0,0,0,0,0,0,0,1,1,0,0,134,64,2,0,0,0,0,0,0.47059,1,1,1,1303.0167,2,2,174,108,0,0,0,0,1,1,0,0,17,5,0,0,0,0,0,0,0.59162,1,1,0.927077469091454,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.995851114700023,0.995851114700023,1,1,0.239276655185921,0.469483138230054,0.986972088224788,0.935272946598388,1,1,1,1,0.443443948991176,1,0.249994053362974,0.249994053362974,0.20398137947761,0.424408982943862,0.424408982943862,0.468151992235836,0.48503987070911,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.946029597722799,0.999983664004686,0.980950404760928,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.605557823270512,1,1,1,1,1
"13",0,13.95,1,1,103,87,0,0,0,0,1,1,0,0,7,7,103,90,0,0,0,0,0.86385,1,0,0,717.3,1,1,404,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80941,1,1,0.974002701699623,0.439415748052384,0.439415748052384,0.211783689289612,0.0913430253146899,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.995851114700023,0.995851114700023,1,1,0.941698963613938,0.984022362485293,0.0836527520282871,0.0918209941583217,1,1,1,1,0.907689062307646,1,0.999955772564377,0.999955772564377,0.46128351762434,0.907281659575328,0.907281659575328,0.0940284892351483,0.0893053854202946,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.612601290175906,0.612601290175906,0.999958139640646,0.999958139640646,0.946119158212561,0.950094883022334,0.980950404760928,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.898296539887165,1,1,1,1,1
"27",0,29.4833,0,0,0,0,0,0,0,0,1,1,0,0,22,15,0,0,0,0,0,0,0.68182,1,0,0,18.0333,0,0,0,0,0,0,0,0,1,1,0,0,134,64,2,0,0,0,0,0,0.47059,1,1,0.730777042158077,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.995851114700023,0.995851114700023,1,1,0.991251139066567,0.963006498722598,0.947851912837428,0.935272946598388,1,1,1,1,0.88465754717128,1,0.999955772564377,0.999955772564377,0.999604169889309,0.976761175991863,0.976761175991863,0.971441270704585,0.968962841973383,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.148101127424348,0.281914070049278,0.916972081947839,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.306612073094424,1,1,1,1,1
"29",0,382.6167,0,0,0,0,0,0,0,0,3,3,0,0,55,49,61,53,0,0,0,0,0.87931,1,0,0,228.1,2,2,150,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76667,1,1,0.0857009042976692,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.514532327310919,0.514532327310919,1,1,0.694493129086879,0.548564722885024,0.174971480028361,0.177622062064301,1,1,1,1,0.86446512493989,1,0.999955772564377,0.999955772564377,0.962768872876578,0.424408982943862,0.424408982943862,0.545031692362822,0.447148587661735,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.612601290175906,0.612601290175906,0.999958139640646,0.999958139640646,0.946119158212561,0.950094883022334,0.980950404760928,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.988888444170157,1,1,1,1,1
"38",0,129.1667,1,1,69,37,0,0,0,0,2,2,0,0,6,6,36,30,0,0,0,0,0.65766,1,0,0,88.8,0,0,0,0,0,0,0,0,1,1,0,0,16,11,0,0,0,0,0,0,0.6875,1,1,0.113943119410426,0.439415748052384,0.439415748052384,0.31438642262465,0.264949473468501,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.706478480645426,0.706478480645426,1,1,0.929960762505755,0.971582649360924,0.288446487049339,0.0998074253592436,1,1,1,1,0.817800374858865,1,0.999955772564377,0.999955772564377,0.997315580386356,0.976761175991863,0.976761175991863,0.971441270704585,0.968962841973383,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.957115044859265,0.928272162968899,0.980950404760928,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.928821215053885,1,1,1,1,1
"43",0,6.2667,0,0,0,0,0,0,0,0,2,2,0,0,33,8,2,2,0,0,0,0,0.28571,1,1,1,1785.4,1,1,139,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69784,1,1,0.994521900417971,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.706478480645426,0.706478480645426,1,1,0.911148916813168,0.992907112288247,0.986972088224788,0.997329473959669,1,1,1,1,0.261819938106291,1,0.249994053362974,0.249994053362974,0.125866730292853,0.907281659575328,0.907281659575328,0.570496717091969,0.535154244323612,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.612601290175906,0.612601290175906,0.999958139640646,0.999958139640646,0.946119158212561,0.950094883022334,0.980950404760928,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.951234536197091,1,1,1,1,1
"59",0,0.0167,0,0,0,0,1,1,106,61,3,3,0,0,143,37,40,17,0,0,0,0,0.39792,1,1,1,937.6833,2,2,173,79,1,1,129,36,2,2,1,1,20,17,7,7,2,2,3,3,0.43114,1,1,0.932824546576479,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.0526293757705604,0.0526293757705604,0.0526293757705604,0.0526293757705603,0.514532327310919,0.514532327310919,1,1,0.210997976109166,0.593040034460259,0.245442558376691,0.372851750166272,1,1,1,1,0.428844754599988,1,0.249994053362974,0.249994053362974,0.309526165983177,0.424408982943862,0.424408982943862,0.471962921955132,0.606061556891619,0.111108495480668,0.111108495480668,0.0548572958604555,0.0548640148615677,0.223462267114142,0.223462267114142,0.0526293757705604,0.0526293757705604,0.907207986009365,0.760630470890106,0.41399221263086,0.431915913908736,0.0526293757705604,0.0526293757705604,0.0526293757705603,0.0526293757705603,0.252319022779131,1,1,1,1,1
"63",0,0.2833,0,0,0,0,0,0,0,0,1,1,0,0,76,54,0,0,0,0,0,0,0.71053,1,0,0,0.7167,0,0,0,0,0,0,0,0,1,1,0,0,30,8,0,0,0,0,0,0,0.26667,1,1,0.936932597275666,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.995851114700023,0.995851114700023,1,1,0.553970277396227,0.541295894134315,0.947851912837428,0.935272946598388,1,1,1,1,0.944151493740984,1,0.999955772564377,0.999955772564377,0.995309397601879,0.976761175991863,0.976761175991863,0.971441270704585,0.968962841973383,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.742418703599908,0.980575436883964,0.980950404760928,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.166920579041919,1,1,1,1,1
"102",0,0,0,0,0,0,0,0,0,0,3,3,0,0,100,85,4,3,0,0,0,0,0.84615,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,68,64,12,10,0,0,0,0,0.925,1,1,0.932567215568691,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.514532327310919,0.514532327310919,1,1,0.377243743442823,0.174733928255183,0.999997364837079,0.998033426520606,1,1,1,1,0.945936487481097,1,0.999955772564377,0.999955772564377,0.994647234099242,0.976761175991863,0.976761175991863,0.971441270704585,0.968962841973383,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.318974661126856,0.281914070049278,0.169994229194876,0.269291287036951,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.367133825767141,1,1,1,1,1
