"","resampleSeed","dens.fct","oversample","useKeywords","useDatatype","batchSize","neurons","learningRate","err.fct","act.fct","epochs","precision","patience","maxVars","ID"
"1",588824402,"ecdf",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,1
"2",817867447,"ecdf",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,2
"3",1229953753,"ecdf",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,3
"4",588824402,"1-ecdf",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,4
"5",817867447,"1-ecdf",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,5
"6",1229953753,"1-ecdf",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,6
"7",588824402,"epdf",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,7
"8",817867447,"epdf",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,8
"9",1229953753,"epdf",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,9
"10",588824402,"epdf_scaled",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,10
"11",817867447,"epdf_scaled",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,11
"12",1229953753,"epdf_scaled",TRUE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,12
"13",588824402,"ecdf",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,13
"14",817867447,"ecdf",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,14
"15",1229953753,"ecdf",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,15
"16",588824402,"1-ecdf",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,16
"17",817867447,"1-ecdf",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,17
"18",1229953753,"1-ecdf",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,18
"19",588824402,"epdf",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,19
"20",817867447,"epdf",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,20
"21",1229953753,"epdf",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,21
"22",588824402,"epdf_scaled",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,22
"23",817867447,"epdf_scaled",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,23
"24",1229953753,"epdf_scaled",FALSE,TRUE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,24
"25",588824402,"ecdf",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,25
"26",817867447,"ecdf",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,26
"27",1229953753,"ecdf",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,27
"28",588824402,"1-ecdf",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,28
"29",817867447,"1-ecdf",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,29
"30",1229953753,"1-ecdf",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,30
"31",588824402,"epdf",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,31
"32",817867447,"epdf",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,32
"33",1229953753,"epdf",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,33
"34",588824402,"epdf_scaled",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,34
"35",817867447,"epdf_scaled",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,35
"36",1229953753,"epdf_scaled",TRUE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,36
