"","t","doEcdf","rfeVars","resample","model","vars","acc","kappa"
"1",1,TRUE,TRUE,1,"B1",11,0.347826086956522,0.136960600375234
"2",2,TRUE,TRUE,1,"B1",21,0.324324324324324,0.0877712031558186
"3",3,TRUE,TRUE,1,"B1",18,0.153846153846154,-0.0631970260223048
"4",1,FALSE,TRUE,1,"B1",11,0.260869565217391,0.0157331655129012
"5",2,FALSE,TRUE,1,"B1",21,0.216216216216216,-0.0122641509433962
"6",3,FALSE,TRUE,1,"B1",18,0.153846153846154,-0.0592592592592593
"7",1,TRUE,FALSE,1,"B1",49,0.282608695652174,0.0446821900566393
"8",2,TRUE,FALSE,1,"B1",49,0.189189189189189,-0.118951612903226
"9",3,TRUE,FALSE,1,"B1",49,0.230769230769231,0.0352504638218924
"10",1,FALSE,FALSE,1,"B1",49,0.347826086956522,0.0927021696252465
"11",2,FALSE,FALSE,1,"B1",49,0.297297297297297,0.0331658291457286
"12",3,FALSE,FALSE,1,"B1",49,0.269230769230769,0.0178926441351888
"13",1,TRUE,TRUE,2,"B1",11,0.304347826086957,0.0277410832232497
"14",2,TRUE,TRUE,2,"B1",21,0.27027027027027,0.00498007968127488
"15",3,TRUE,TRUE,2,"B1",18,0.423076923076923,0.19917864476386
"16",1,FALSE,TRUE,2,"B1",11,0.217391304347826,-0.0767230169050715
"17",2,FALSE,TRUE,2,"B1",21,0.135135135135135,-0.15625
"18",3,FALSE,TRUE,2,"B1",18,0.269230769230769,0.0139720558882235
"19",1,TRUE,FALSE,2,"B1",49,0.217391304347826,-0.0567964262922783
"20",2,TRUE,FALSE,2,"B1",49,0.216216216216216,-0.106185567010309
"21",3,TRUE,FALSE,2,"B1",49,0.230769230769231,-0.00775193798449613
"22",1,FALSE,FALSE,2,"B1",49,0.304347826086957,0.0238726790450929
"23",2,FALSE,FALSE,2,"B1",49,0.351351351351351,0.137864077669903
"24",3,FALSE,FALSE,2,"B1",49,0.307692307692308,0.0912621359223301
"25",1,TRUE,TRUE,3,"B1",11,0.239130434782609,-0.0502283105022831
"26",2,TRUE,TRUE,3,"B1",21,0.297297297297297,0.0829361296472831
"27",3,TRUE,TRUE,3,"B1",18,0.230769230769231,-0.0176125244618395
"28",1,FALSE,TRUE,3,"B1",11,0.282608695652174,0.0168393782383419
"29",2,FALSE,TRUE,3,"B1",21,0.297297297297297,0.0924528301886793
"30",3,FALSE,TRUE,3,"B1",18,0.384615384615385,0.190661478599222
"31",1,TRUE,FALSE,3,"B1",49,0.195652173913043,-0.0799492385786802
"32",2,TRUE,FALSE,3,"B1",49,0.0810810810810811,-0.223735408560311
"33",3,TRUE,FALSE,3,"B1",49,0.192307692307692,-0.0186567164179104
"34",1,FALSE,FALSE,3,"B1",49,0.260869565217391,0.0345679012345679
"35",2,FALSE,FALSE,3,"B1",49,0.243243243243243,0.00671140939597314
"36",3,FALSE,FALSE,3,"B1",49,0.307692307692308,0.0947775628626693
"37",1,TRUE,TRUE,4,"B1",11,0.304347826086957,0.0874147551146932
"38",2,TRUE,TRUE,4,"B1",21,0.243243243243243,0.0308699719363891
"39",3,TRUE,TRUE,4,"B1",18,0.153846153846154,-0.172131147540984
"40",1,FALSE,TRUE,4,"B1",11,0.282608695652174,0.0045901639344262
"41",2,FALSE,TRUE,4,"B1",21,0.216216216216216,-0.0676616915422886
"42",3,FALSE,TRUE,4,"B1",18,0.230769230769231,-0.00775193798449613
"43",1,TRUE,FALSE,4,"B1",49,0.326086956521739,0.048064085447263
"44",2,TRUE,FALSE,4,"B1",49,0.27027027027027,0.0485714285714286
"45",3,TRUE,FALSE,4,"B1",49,0.346153846153846,0.116
"46",1,FALSE,FALSE,4,"B1",49,0.282608695652174,0.0193798449612403
"47",2,FALSE,FALSE,4,"B1",49,0.243243243243243,-0.00876338851022394
"48",3,FALSE,FALSE,4,"B1",49,0.153846153846154,-0.141716566866267
"49",1,TRUE,TRUE,5,"B1",11,0.304347826086957,0.0606253988513082
"50",2,TRUE,TRUE,5,"B1",21,0.297297297297297,0.0427860696517412
"51",3,TRUE,TRUE,5,"B1",18,0.269230769230769,0.0332681017612524
"52",1,FALSE,TRUE,5,"B1",11,0.260869565217391,-0.0142671854734111
"53",2,FALSE,TRUE,5,"B1",21,0.297297297297297,0.0243407707910751
"54",3,FALSE,TRUE,5,"B1",18,0.230769230769231,0.00763358778625951
"55",1,TRUE,FALSE,5,"B1",49,0.282608695652174,0.0434782608695652
"56",2,TRUE,FALSE,5,"B1",49,0.243243243243243,0.0504124656278643
"57",3,TRUE,FALSE,5,"B1",49,0.192307692307692,-0.0479846449136276
"58",1,FALSE,FALSE,5,"B1",49,0.239130434782609,-0.0704787234042553
"59",2,FALSE,FALSE,5,"B1",49,0.243243243243243,0.0281425891181989
"60",3,FALSE,FALSE,5,"B1",49,0.192307692307692,-0.0581395348837209
"61",1,TRUE,TRUE,6,"B1",11,0.282608695652174,-0.006631299734748
"62",2,TRUE,TRUE,6,"B1",21,0.324324324324324,0.12405303030303
"63",3,TRUE,TRUE,6,"B1",18,0.346153846153846,0.114228456913828
"64",1,FALSE,TRUE,6,"B1",11,0.304347826086957,0.0435347628330085
"65",2,FALSE,TRUE,6,"B1",21,0.297297297297297,0.0864197530864198
"66",3,FALSE,TRUE,6,"B1",18,0.153846153846154,-0.0853889943074004
"67",1,TRUE,FALSE,6,"B1",49,0.304347826086957,0.0360183366077276
"68",2,TRUE,FALSE,6,"B1",49,0.297297297297297,0.0213631739572736
"69",3,TRUE,FALSE,6,"B1",49,0.230769230769231,-0.00970873786407765
"70",1,FALSE,FALSE,6,"B1",49,0.304347826086957,0.0212765957446809
"71",2,FALSE,FALSE,6,"B1",49,0.243243243243243,-0.0539165818921669
"72",3,FALSE,FALSE,6,"B1",49,0.192307692307692,0.0162162162162162
"73",1,TRUE,TRUE,7,"B1",11,0.152173913043478,-0.149263292761051
"74",2,TRUE,TRUE,7,"B1",21,0.27027027027027,0.00299401197604795
"75",3,TRUE,TRUE,7,"B1",18,0.153846153846154,-0.141716566866267
"76",1,FALSE,TRUE,7,"B1",11,0.239130434782609,-0.00687929956222638
"77",2,FALSE,TRUE,7,"B1",21,0.162162162162162,-0.0739700374531835
"78",3,FALSE,TRUE,7,"B1",18,0.115384615384615,-0.081374321880651
"79",1,TRUE,FALSE,7,"B1",49,0.282608695652174,-0.0140280561122244
"80",2,TRUE,FALSE,7,"B1",49,0.324324324324324,0.0796019900497512
"81",3,TRUE,FALSE,7,"B1",49,0.0769230769230769,-0.100529100529101
"82",1,FALSE,FALSE,7,"B1",49,0.326086956521739,0.0728218465539662
"83",2,FALSE,FALSE,7,"B1",49,0.27027027027027,-0.0101112234580385
